Archaea	Bacteria	Eukaryotes	Viruses
	2304.0	22218.0	65.0
	7583.0	12446.0	2.0
	1566.0	10380.0	60.0
	2458.0	9306.0	6.0
	4252.0	6678.0	14.0
	4613.0	14445.0	8.0
	2322.0	4201.0	32.0
	4007.0	26426.0	467.0
	5002.0	4398.0	1.0
	3826.0	29571.0	3.0
	2826.0	36306.0	3.0
	3540.0	12773.0	6.0
	2609.0	4927.0	1.0
	2858.0	10209.0	71.0
	4675.0	11939.0	71.0
	2181.0	9156.0	82.0
	5790.0	8317.0	52.0
	8253.0	13783.0	2.0
	3553.0	15355.0	1.0
	2334.0	9830.0	40.0
	1760.0	5901.0	2.0
	8423.0	13222.0	6.0
	2958.0	9272.0	1.0
	3455.0	35649.0	1.0
	3211.0	7080.0	112.0
	8140.0	17610.0	1.0
	3682.0	29137.0	2.0
	4781.0	6045.0	82.0
	4320.0	12351.0	79.0
	4109.0	9647.0	65.0
	1354.0	10939.0	7.0
	3461.0	9252.0	4.0
	2474.0	11848.0	33.0
	4462.0	11378.0	1.0
	3303.0	14157.0	6.0
	1488.0	6698.0	1.0
	4273.0	5865.0	2.0
	2665.0	9545.0	4.0
	2247.0	47151.0	4.0
	3020.0	11611.0	102.0
	2361.0	9101.0	2.0
	3416.0	15634.0	4.0
	3103.0	10771.0	47.0
	3553.0	6244.0	212.0
	4066.0	9628.0	47.0
	2083.0	12077.0	69.0
	4041.0	3419.0	3.0
	3449.0	19786.0	6.0
	5627.0	31311.0	2.0
	3812.0	5361.0	7.0
	4463.0	11844.0	2.0
	8700.0	16332.0	11.0
	4104.0	10154.0	58.0
	4388.0	9720.0	102.0
	2243.0	12747.0	4.0
	3470.0	37110.0	70.0
	2980.0	11098.0	3.0
	3154.0	3930.0	4.0
	7108.0	6643.0	58.0
	4679.0	19520.0	2.0
	2803.0	11511.0	128.0
	3188.0	2220.0	2.0
	4159.0	9157.0	3.0
	2384.0	13043.0	95.0
	3559.0	8297.0	61.0
	1479.0	19171.0	3.0
	5952.0	9140.0	3.0
	1913.0	10972.0	46.0
	3292.0	12062.0	66.0
	3604.0	10563.0	56.0
	1861.0	15446.0	1.0
	2859.0	12186.0	2.0
	227.0	12068.0	2.0
	3344.0	12399.0	115.0
